Theme,Context,Selector,Property,Value
editorial,preview-prod,.inv-message,computed.textTransform,none
editorial,preview-prod,.inv-message,computed.marginTop,21.252px
editorial,preview-prod,.inv-message,computed.marginBottom,21.252px
editorial,preview-prod,.inv-message,computed.paddingTop,0px
editorial,preview-prod,.inv-message,computed.paddingBottom,0px
editorial,preview-prod,.inv-message,geometry.x,0
editorial,preview-prod,.inv-message,geometry.y,0
editorial,preview-prod,.inv-message,geometry.width,0
editorial,preview-prod,.inv-message,geometry.height,0
editorial,preview-prod,.inv-message,geometry.clientWidth,0
editorial,preview-prod,.inv-message,geometry.clientHeight,0
editorial,preview-prod,.inv-message,geometry.scrollWidth,0
editorial,preview-prod,.inv-message,geometry.scrollHeight,0
editorial,preview-prod,.inv-message,inline.styleAttr,display: none;
editorial,preview-prod,.inv-message,inline.styleFontSize,
editorial,preview-prod,.inv-message,inline.styleMarginTop,
editorial,preview-prod,.inv-message,inline.styleMarginBottom,
editorial,preview-prod,.inv-message,wrap.lineCount,0
editorial,preview-prod,.inv-message,wrap.textContentTrim,
editorial,preview-prod,.section-title[0],computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.section-title[0],computed.fontSize,10.35px
editorial,preview-prod,.section-title[0],computed.lineHeight,13.9725px
editorial,preview-prod,.section-title[0],computed.letterSpacing,1.242px
editorial,preview-prod,.section-title[0],computed.textTransform,uppercase
editorial,preview-prod,.section-title[0],computed.marginTop,9.315px
editorial,preview-prod,.section-title[0],computed.marginBottom,6.21px
editorial,preview-prod,.section-title[0],computed.paddingTop,0px
editorial,preview-prod,.section-title[0],computed.paddingBottom,0px
editorial,preview-prod,.section-title[0],geometry.x,0
editorial,preview-prod,.section-title[0],geometry.y,0
editorial,preview-prod,.section-title[0],geometry.width,0
editorial,preview-prod,.section-title[0],geometry.height,0
editorial,preview-prod,.section-title[0],geometry.clientWidth,0
editorial,preview-prod,.section-title[0],geometry.clientHeight,0
editorial,preview-prod,.section-title[0],geometry.scrollWidth,0
editorial,preview-prod,.section-title[0],geometry.scrollHeight,0
editorial,preview-prod,.section-title[0],inline.styleAttr,
editorial,preview-prod,.section-title[0],inline.styleFontSize,
editorial,preview-prod,.section-title[0],inline.styleMarginTop,
editorial,preview-prod,.section-title[0],inline.styleMarginBottom,
editorial,preview-prod,.section-title[1],computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.section-title[1],computed.fontSize,8.073px
editorial,preview-prod,.section-title[1],computed.lineHeight,11.3022px
editorial,preview-prod,.section-title[1],computed.letterSpacing,0.96876px
editorial,preview-prod,.section-title[1],computed.textTransform,uppercase
editorial,preview-prod,.section-title[1],computed.marginTop,7.2657px
editorial,preview-prod,.section-title[1],computed.marginBottom,4.8438px
editorial,preview-prod,.section-title[1],computed.paddingTop,0px
editorial,preview-prod,.section-title[1],computed.paddingBottom,0px
editorial,preview-prod,.section-title[1],geometry.x,0
editorial,preview-prod,.section-title[1],geometry.y,0
editorial,preview-prod,.section-title[1],geometry.width,0
editorial,preview-prod,.section-title[1],geometry.height,0
editorial,preview-prod,.section-title[1],geometry.clientWidth,0
editorial,preview-prod,.section-title[1],geometry.clientHeight,0
editorial,preview-prod,.section-title[1],geometry.scrollWidth,0
editorial,preview-prod,.section-title[1],geometry.scrollHeight,0
editorial,preview-prod,.section-title[1],inline.styleAttr,
editorial,preview-prod,.section-title[1],inline.styleFontSize,
editorial,preview-prod,.section-title[1],inline.styleMarginTop,
editorial,preview-prod,.section-title[1],inline.styleMarginBottom,
editorial,preview-prod,.inv-events,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.inv-events,computed.fontSize,13.8px
editorial,preview-prod,.inv-events,computed.lineHeight,20.01px
editorial,preview-prod,.inv-events,computed.letterSpacing,normal
editorial,preview-prod,.inv-events,computed.textTransform,none
editorial,preview-prod,.inv-events,computed.marginTop,16.56px
editorial,preview-prod,.inv-events,computed.marginBottom,0px
editorial,preview-prod,.inv-events,computed.paddingTop,0px
editorial,preview-prod,.inv-events,computed.paddingBottom,0px
editorial,preview-prod,.inv-events,geometry.x,0
editorial,preview-prod,.inv-events,geometry.y,0
editorial,preview-prod,.inv-events,geometry.width,0
editorial,preview-prod,.inv-events,geometry.height,0
editorial,preview-prod,.inv-events,geometry.clientWidth,0
editorial,preview-prod,.inv-events,geometry.clientHeight,0
editorial,preview-prod,.inv-events,geometry.scrollWidth,0
editorial,preview-prod,.inv-events,geometry.scrollHeight,0
editorial,preview-prod,.inv-events,inline.styleAttr,display:none;
editorial,preview-prod,.inv-events,inline.styleFontSize,
editorial,preview-prod,.inv-events,inline.styleMarginTop,
editorial,preview-prod,.inv-events,inline.styleMarginBottom,
editorial,preview-prod,.events-row.top,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.events-row.top,computed.fontSize,13.8px
editorial,preview-prod,.events-row.top,computed.lineHeight,20.01px
editorial,preview-prod,.events-row.top,computed.letterSpacing,normal
editorial,preview-prod,.events-row.top,computed.textTransform,none
editorial,preview-prod,.events-row.top,computed.marginTop,13.8px
editorial,preview-prod,.events-row.top,computed.marginBottom,0px
editorial,preview-prod,.events-row.top,computed.paddingTop,0px
editorial,preview-prod,.events-row.top,computed.paddingBottom,0px
editorial,preview-prod,.events-row.top,geometry.x,0
editorial,preview-prod,.events-row.top,geometry.y,0
editorial,preview-prod,.events-row.top,geometry.width,0
editorial,preview-prod,.events-row.top,geometry.height,0
editorial,preview-prod,.events-row.top,geometry.clientWidth,0
editorial,preview-prod,.events-row.top,geometry.clientHeight,0
editorial,preview-prod,.events-row.top,geometry.scrollWidth,0
editorial,preview-prod,.events-row.top,geometry.scrollHeight,0
editorial,preview-prod,.events-row.top,inline.styleAttr,
editorial,preview-prod,.events-row.top,inline.styleFontSize,
editorial,preview-prod,.events-row.top,inline.styleMarginTop,
editorial,preview-prod,.events-row.top,inline.styleMarginBottom,
editorial,preview-prod,.events-row.bottom,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.events-row.bottom,computed.fontSize,13.8px
editorial,preview-prod,.events-row.bottom,computed.lineHeight,20.01px
editorial,preview-prod,.events-row.bottom,computed.letterSpacing,normal
editorial,preview-prod,.events-row.bottom,computed.textTransform,none
editorial,preview-prod,.events-row.bottom,computed.marginTop,13.8px
editorial,preview-prod,.events-row.bottom,computed.marginBottom,0px
editorial,preview-prod,.events-row.bottom,computed.paddingTop,0px
editorial,preview-prod,.events-row.bottom,computed.paddingBottom,0px
editorial,preview-prod,.events-row.bottom,geometry.x,0
editorial,preview-prod,.events-row.bottom,geometry.y,0
editorial,preview-prod,.events-row.bottom,geometry.width,0
editorial,preview-prod,.events-row.bottom,geometry.height,0
editorial,preview-prod,.events-row.bottom,geometry.clientWidth,0
editorial,preview-prod,.events-row.bottom,geometry.clientHeight,0
editorial,preview-prod,.events-row.bottom,geometry.scrollWidth,0
editorial,preview-prod,.events-row.bottom,geometry.scrollHeight,0
editorial,preview-prod,.events-row.bottom,inline.styleAttr,
editorial,preview-prod,.events-row.bottom,inline.styleFontSize,
editorial,preview-prod,.events-row.bottom,inline.styleMarginTop,
editorial,preview-prod,.events-row.bottom,inline.styleMarginBottom,
editorial,preview-prod,.inv-parents-wrapper,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.inv-parents-wrapper,computed.fontSize,17.25px
editorial,preview-prod,.inv-parents-wrapper,computed.lineHeight,23.2875px
editorial,preview-prod,.inv-parents-wrapper,computed.letterSpacing,normal
editorial,preview-prod,.inv-parents-wrapper,computed.textTransform,none
editorial,preview-prod,.inv-parents-wrapper,computed.marginTop,13.8px
editorial,preview-prod,.inv-parents-wrapper,computed.marginBottom,0px
editorial,preview-prod,.inv-parents-wrapper,computed.paddingTop,0px
editorial,preview-prod,.inv-parents-wrapper,computed.paddingBottom,0px
editorial,preview-prod,.inv-parents-wrapper,geometry.x,0
editorial,preview-prod,.inv-parents-wrapper,geometry.y,0
editorial,preview-prod,.inv-parents-wrapper,geometry.width,0
editorial,preview-prod,.inv-parents-wrapper,geometry.height,0
editorial,preview-prod,.inv-parents-wrapper,geometry.clientWidth,0
editorial,preview-prod,.inv-parents-wrapper,geometry.clientHeight,0
editorial,preview-prod,.inv-parents-wrapper,geometry.scrollWidth,0
editorial,preview-prod,.inv-parents-wrapper,geometry.scrollHeight,0
editorial,preview-prod,.inv-parents-wrapper,inline.styleAttr,display:none;
editorial,preview-prod,.inv-parents-wrapper,inline.styleFontSize,
editorial,preview-prod,.inv-parents-wrapper,inline.styleMarginTop,
editorial,preview-prod,.inv-parents-wrapper,inline.styleMarginBottom,
editorial,preview-prod,.inv-nasi,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.inv-nasi,computed.fontSize,13.455px
editorial,preview-prod,.inv-nasi,computed.lineHeight,18.837px
editorial,preview-prod,.inv-nasi,computed.letterSpacing,normal
editorial,preview-prod,.inv-nasi,computed.textTransform,none
editorial,preview-prod,.inv-nasi,computed.marginTop,10.764px
editorial,preview-prod,.inv-nasi,computed.marginBottom,13.455px
editorial,preview-prod,.inv-nasi,computed.paddingTop,0px
editorial,preview-prod,.inv-nasi,computed.paddingBottom,0px
editorial,preview-prod,.inv-nasi,geometry.x,0
editorial,preview-prod,.inv-nasi,geometry.y,0
editorial,preview-prod,.inv-nasi,geometry.width,0
editorial,preview-prod,.inv-nasi,geometry.height,0
editorial,preview-prod,.inv-nasi,geometry.clientWidth,0
editorial,preview-prod,.inv-nasi,geometry.clientHeight,0
editorial,preview-prod,.inv-nasi,geometry.scrollWidth,0
editorial,preview-prod,.inv-nasi,geometry.scrollHeight,0
editorial,preview-prod,.inv-nasi,inline.styleAttr,display:none;
editorial,preview-prod,.inv-nasi,inline.styleFontSize,
editorial,preview-prod,.inv-nasi,inline.styleMarginTop,
editorial,preview-prod,.inv-nasi,inline.styleMarginBottom,
